,learning_rate,num_conv_layers,num_dense_layers,num_dense_nodes,activation,batch_size,accuracy
0,0.001,1,1,13,relu,64,50.279998779296875
1,0.0028306352518669975,2,3,14,relu,41,65.18666744232178
2,0.01621487725011588,3,4,4,relu,62,32.653334736824036
3,0.04169342355502355,1,3,11,relu,53,60.79999804496765
4,0.00015569257384141593,2,4,22,relu,101,24.266666173934937
5,0.016022311208090615,3,3,11,relu,74,67.50666499137878
6,0.0009026610576614958,2,3,27,relu,58,52.586668729782104
7,0.02118115690570251,3,4,7,sigmoid,11,61.666667461395264
8,0.0004050805306028845,2,3,6,sigmoid,50,11.3066665828228
9,0.06286347757320808,3,2,21,relu,28,73.7999975681305
10,0.025798205044810337,1,1,8,sigmoid,6,56.70666694641113
11,0.0004468170029411587,1,2,1,relu,127,14.546667039394379
12,0.02112852278002978,3,5,17,sigmoid,13,47.733333706855774
13,0.01678284767871054,3,3,17,relu,58,65.06666541099548
14,0.1,3,2,24,relu,15,34.70666706562042
15,0.0001,2,1,28,sigmoid,77,24.25333261489868
16,0.06565905771070019,3,1,19,relu,49,71.11999988555908
17,0.00608344064145251,1,2,23,sigmoid,67,40.62666594982147
18,0.057473641054166975,3,2,20,relu,54,10.146666318178177
19,0.023044142348650345,3,2,21,relu,24,74.76000189781189
20,0.0002767128380682584,3,2,21,relu,13,56.49333596229553
21,0.0524092097046655,3,2,19,relu,80,63.55999708175659
22,0.1,2,1,19,relu,1,10.146666318178177
23,0.1,3,2,21,relu,22,10.146666318178177
24,0.02192035903738609,3,2,4,relu,25,10.146666318178177
25,0.002719104888367854,2,3,13,relu,41,64.6399974822998
26,0.0224861365254762,3,2,22,relu,24,73.86666536331177
27,0.03904426397253536,3,2,26,relu,26,74.62666630744934
28,0.03110931611794203,3,2,22,relu,27,73.98666739463806
29,0.03553742367478015,3,2,24,relu,26,73.9466667175293
30,0.051417805377372144,3,2,28,relu,34,74.97333288192749
31,0.050826075741247485,3,2,26,relu,30,73.26666712760925
32,0.052916631463512075,3,2,22,relu,29,71.6533362865448
33,0.01748772259647834,3,2,28,relu,26,73.43999743461609
34,0.02209734445594606,3,2,24,relu,25,74.76000189781189
35,0.003392501118433102,3,3,7,relu,66,58.52000117301941
36,0.035161450607422394,3,2,26,relu,27,20.38666605949402
37,0.0021468252234556956,1,2,16,relu,26,64.09333348274231
38,0.04419364353827384,3,2,23,relu,32,74.00000095367432
39,0.03145419242634812,2,2,21,relu,27,70.75999975204468
40,0.019890203692167145,3,2,27,relu,25,72.2000002861023
41,0.002299175226467065,3,2,21,relu,27,61.46666407585144
42,0.02269528192597937,2,2,21,relu,24,70.54666876792908
43,0.0935372326068864,2,2,23,relu,31,67.72000193595886
44,0.024768517538225312,3,5,22,relu,24,74.62666630744934
45,0.04130837784848988,3,4,26,relu,33,75.74666738510132
46,0.03027242913605572,3,2,22,relu,24,74.76000189781189
47,0.014159220088951723,2,2,27,relu,32,70.78666687011719
48,0.022218291639893376,2,3,26,relu,26,71.93333506584167
49,0.09536285766613191,3,1,22,relu,24,70.58666944503784
